"","X410","X2965","X2990","X"
"595",11741,2881,2899,2
"596",11741,6460,2881,2
"597",11741,1762,2881,2
"598",11741,1762,2899,2
"599",11741,2879,2881,2
"600",11741,2893,2878,2
"601",11741,2899,2877,2
"602",11741,2899,2881,2
"603",11741,2899,1762,2
"604",4608,6351,3379,2
"605",4608,3370,3393,2
"606",4608,3370,3395,2
"607",4608,3370,2244,2
"608",4608,3375,4380,2
"609",4608,3375,3393,2
"610",4608,3375,3395,2
"611",4608,3375,3386,2
"612",4608,3375,3400,2
"613",4608,3375,3382,2
"614",4608,3375,3399,2
"615",4608,4380,3375,2
"616",4608,4380,3388,2
"617",4608,4380,4108,2
"618",4608,4380,3368,2
"619",4608,3393,3370,2
"620",4608,3393,3375,2
"621",4608,3393,3371,2
"622",4608,3393,3395,2
"623",4608,3393,4109,2
"624",4608,3393,3404,2
"625",4608,3393,6353,2
"626",4608,3393,4120,2
"627",4608,3393,3386,2
"628",4608,3393,3179,2
"629",4608,3393,4085,2
"630",4608,3393,3384,2
"631",4608,3393,3382,2
"632",4608,3393,3378,2
"633",4608,3393,4033,2
"634",4608,3393,4097,2
"635",4608,3393,3387,2
"636",4608,3393,3388,2
"637",4608,3393,3373,2
"638",4608,3393,3364,2
"639",4608,3393,3406,2
"640",4608,3393,6435,2
"641",4608,3393,4302,2
"642",4608,3393,3361,2
"643",4608,3393,4030,2
"644",4608,3393,3374,2
"645",4608,3393,4108,2
"646",4608,3393,2275,2
"647",4608,3393,3368,2
"648",4608,3393,3369,2
"649",4608,3393,3399,2
"650",4608,3393,3376,2
"651",4608,3393,6390,2
"652",4608,3393,3379,2
"653",4608,3393,6366,2
"654",4608,3393,6361,2
"655",4608,3393,6357,2
"656",4608,3371,3393,2
"657",4608,3371,3395,2
"658",4608,3371,3385,2
"659",4608,3371,3382,2
"660",4608,3371,4144,2
"661",4608,3371,6392,2
"662",4608,3371,3383,2
"663",4608,3395,3370,2
"664",4608,3395,3375,2
"665",4608,3395,3393,2
"666",4608,3395,3371,2
"667",4608,3395,9310,2
"668",4608,3395,6434,2
"669",4608,3395,4120,2
"670",4608,3395,8407,2
"671",4608,3395,6345,2
"672",4608,3395,3389,2
"673",4608,3395,3386,2
"674",4608,3395,3077,2
"675",4608,3395,3179,2
"676",4608,3395,3930,2
"677",4608,3395,4085,2
"678",4608,3395,3381,2
"679",4608,3395,8781,2
"680",4608,3395,4301,2
"681",4608,3395,3384,2
"682",4608,3395,3382,2
"683",4608,3395,6379,2
"684",4608,3395,3394,2
"685",4608,3395,3378,2
"686",4608,3395,4033,2
"687",4608,3395,6376,2
"688",4608,3395,4097,2
"689",4608,3395,6402,2
"690",4608,3395,3339,2
"691",4608,3395,3388,2
"692",4608,3395,3373,2
"693",4608,3395,3364,2
"694",4608,3395,3406,2
"695",4608,3395,6435,2
"696",4608,3395,4144,2
"697",4608,3395,6347,2
"698",4608,3395,4030,2
"699",4608,3395,3374,2
"700",4608,3395,3390,2
"701",4608,3395,4108,2
"702",4608,3395,2275,2
"703",4608,3395,3368,2
"704",4608,3395,3369,2
"705",4608,3395,3399,2
"706",4608,3395,6392,2
"707",4608,3395,3376,2
"708",4608,3395,6390,2
"709",4608,3395,6403,2
"710",4608,3395,3396,2
"711",4608,3395,3379,2
"712",4608,3395,3383,2
"713",4608,3395,6366,2
"714",4608,3395,4149,2
"715",4608,3395,6361,2
"716",4608,3395,8876,2
"717",4608,4109,3393,2
"718",4608,4109,3400,2
"719",4608,4109,3383,2
"720",4608,4109,6355,2
"721",4608,6344,3369,2
"722",4608,9310,3395,2
"723",4608,3404,3393,2
"724",4608,3404,3386,2
"725",4608,3404,3400,2
"726",4608,3404,4108,2
"727",4608,3404,4149,2
"728",4608,4308,3378,2
"729",4608,6434,3395,2
"730",4608,6434,4144,2
"731",4608,6353,3393,2
"732",4608,6353,3388,2
"733",4608,3385,3371,2
"734",4608,3385,3379,2
"735",4608,9311,4097,2
"736",4608,9311,3379,2
"737",4608,4120,3393,2
"738",4608,4120,3395,2
"739",4608,4120,3386,2
"740",4608,4120,3387,2
"741",4608,4120,6355,2
"742",4608,8407,3395,2
"743",4608,6345,3395,2
"744",4608,3389,3395,2
"745",4608,3386,3375,2
"746",4608,3386,3393,2
"747",4608,3386,3395,2
"748",4608,3386,3404,2
"749",4608,3386,4120,2
"750",4608,3386,3394,2
"751",4608,3386,3368,2
"752",4608,3386,3369,2
"753",4608,3077,3395,2
"754",4608,3077,6361,2
"755",4608,3077,6357,2
"756",4608,3179,3393,2
"757",4608,3179,3395,2
"758",4608,3400,3375,2
"759",4608,3400,4109,2
"760",4608,3400,3404,2
"761",4608,3400,4085,2
"762",4608,3400,3387,2
"763",4608,3400,3388,2
"764",4608,3400,6954,2
"765",4608,3400,6347,2
"766",4608,3400,4108,2
"767",4608,3400,3368,2
"768",4608,3400,6392,2
"769",4608,3400,3376,2
"770",4608,3400,3379,2
"771",4608,3400,4149,2
"772",4608,3930,3395,2
"773",4608,4085,3393,2
"774",4608,4085,3395,2
"775",4608,4085,3400,2
"776",4608,4085,3372,2
"777",4608,6432,3378,2
"778",4608,3381,3395,2
"779",4608,3381,3382,2
"780",4608,8781,3395,2
"781",4608,6386,3394,2
"782",4608,6386,3376,2
"783",4608,4301,3395,2
"784",4608,3397,3399,2
"785",4608,3384,3393,2
"786",4608,3384,3395,2
"787",4608,3384,3382,2
"788",4608,3384,3387,2
"789",4608,3382,3375,2
"790",4608,3382,3393,2
"791",4608,3382,3371,2
"792",4608,3382,3395,2
"793",4608,3382,3381,2
"794",4608,3382,3384,2
"795",4608,3382,3394,2
"796",4608,3382,6376,2
"797",4608,3382,3387,2
"798",4608,3382,3388,2
"799",4608,3382,3390,2
"800",4608,3382,4108,2
"801",4608,3382,2276,2
"802",4608,3382,6403,2
"803",4608,3382,3379,2
"804",4608,3382,3383,2
"805",4608,3382,4149,2
"806",4608,6379,3395,2
"807",4608,6379,3383,2
"808",4608,3394,3395,2
"809",4608,3394,3386,2
"810",4608,3394,6386,2
"811",4608,3394,3382,2
"812",4608,3394,3378,2
"813",4608,3394,4030,2
"814",4608,3394,6392,2
"815",4608,3394,4149,2
"816",4608,3372,4085,2
"817",4608,3372,6347,2
"818",4608,3372,4030,2
"819",4608,3378,3393,2
"820",4608,3378,3395,2
"821",4608,3378,4308,2
"822",4608,3378,6432,2
"823",4608,3378,3394,2
"824",4608,3378,3368,2
"825",4608,4033,3393,2
"826",4608,4033,3395,2
"827",4608,4033,6400,2
"828",4608,6376,3395,2
"829",4608,6376,3382,2
"830",4608,4097,3393,2
"831",4608,4097,3395,2
"832",4608,4097,9311,2
"833",4608,4097,3379,2
"834",4608,4097,6366,2
"835",4608,6385,3379,2
"836",4608,6402,3395,2
"837",4608,3339,3395,2
"838",4608,6400,4033,2
"839",4608,6400,3388,2
"840",4608,6400,4030,2
"841",4608,6400,6366,2
"842",4608,3387,3393,2
"843",4608,3387,4120,2
"844",4608,3387,3400,2
"845",4608,3387,3384,2
"846",4608,3387,3382,2
"847",4608,3387,4144,2
"848",4608,3387,4030,2
"849",4608,3388,4380,2
"850",4608,3388,3393,2
"851",4608,3388,3395,2
"852",4608,3388,6353,2
"853",4608,3388,3400,2
"854",4608,3388,3382,2
"855",4608,3388,6400,2
"856",4608,3388,4030,2
"857",4608,3373,3393,2
"858",4608,3373,3395,2
"859",4608,3373,3205,2
"860",4608,3373,3376,2
"861",4608,5475,3376,2
"862",4608,6954,3400,2
"863",4608,3364,3393,2
"864",4608,3364,3395,2
"865",4608,3364,6403,2
"866",4608,3364,8043,2
"867",4608,3406,3393,2
"868",4608,3406,3395,2
"869",4608,3406,2244,2
"870",4608,6435,3393,2
"871",4608,6435,3395,2
"872",4608,3205,3373,2
"873",4608,4144,3371,2
"874",4608,4144,3395,2
"875",4608,4144,6434,2
"876",4608,4144,3387,2
"877",4608,4144,3369,2
"878",4608,4144,4149,2
"879",4608,4144,156,2
"880",4608,6347,3395,2
"881",4608,6347,3400,2
"882",4608,6347,3372,2
"883",4608,2244,3370,2
"884",4608,2244,3406,2
"885",4608,4302,3393,2
"886",4608,3361,3393,2
"887",4608,4030,3393,2
"888",4608,4030,3395,2
"889",4608,4030,3394,2
"890",4608,4030,3372,2
"891",4608,4030,6400,2
"892",4608,4030,3387,2
"893",4608,4030,3388,2
"894",4608,4030,4108,2
"895",4608,4030,6392,2
"896",4608,4030,4110,2
"897",4608,3374,3393,2
"898",4608,3374,3395,2
"899",4608,3374,6403,2
"900",4608,3390,3395,2
"901",4608,3390,3382,2
"902",4608,4108,4380,2
"903",4608,4108,3393,2
"904",4608,4108,3395,2
"905",4608,4108,3404,2
"906",4608,4108,3400,2
"907",4608,4108,3382,2
"908",4608,4108,4030,2
"909",4608,4108,3379,2
"910",4608,2276,3382,2
"911",4608,2275,3393,2
"912",4608,2275,3395,2
"913",4608,3368,4380,2
"914",4608,3368,3393,2
"915",4608,3368,3395,2
"916",4608,3368,3386,2
"917",4608,3368,3400,2
"918",4608,3368,3378,2
"919",4608,8858,3369,2
"920",4608,3369,3393,2
"921",4608,3369,3395,2
"922",4608,3369,6344,2
"923",4608,3369,3386,2
"924",4608,3369,4144,2
"925",4608,3369,8858,2
"926",4608,3399,3375,2
"927",4608,3399,3393,2
"928",4608,3399,3395,2
"929",4608,3399,3397,2
"930",4608,3399,3379,2
"931",4608,6368,3379,2
"932",4608,6392,3371,2
"933",4608,6392,3395,2
"934",4608,6392,3400,2
"935",4608,6392,3394,2
"936",4608,6392,4030,2
"937",4608,3376,3393,2
"938",4608,3376,3395,2
"939",4608,3376,3400,2
"940",4608,3376,6386,2
"941",4608,3376,3373,2
"942",4608,3376,5475,2
"943",4608,6390,3393,2
"944",4608,6390,3395,2
"945",4608,6403,3395,2
"946",4608,6403,3382,2
"947",4608,6403,3364,2
"948",4608,6403,3374,2
"949",4608,3396,3395,2
"950",4608,3379,6351,2
"951",4608,3379,3393,2
"952",4608,3379,3395,2
"953",4608,3379,3385,2
"954",4608,3379,9311,2
"955",4608,3379,3400,2
"956",4608,3379,3382,2
"957",4608,3379,4097,2
"958",4608,3379,6385,2
"959",4608,3379,4108,2
"960",4608,3379,3399,2
"961",4608,3379,6368,2
"962",4608,3379,3383,2
"963",4608,3379,6366,2
"964",4608,3379,4110,2
"965",4608,3383,3371,2
"966",4608,3383,3395,2
"967",4608,3383,4109,2
"968",4608,3383,3382,2
"969",4608,3383,6379,2
"970",4608,3383,3379,2
"971",4608,6366,3393,2
"972",4608,6366,3395,2
"973",4608,6366,4097,2
"974",4608,6366,6400,2
"975",4608,6366,3379,2
"976",4608,6366,8043,2
"977",4608,4149,3395,2
"978",4608,4149,3404,2
"979",4608,4149,3400,2
"980",4608,4149,3382,2
"981",4608,4149,3394,2
"982",4608,4149,4144,2
"983",4608,4110,4030,2
"984",4608,4110,3379,2
"985",4608,6361,3393,2
"986",4608,6361,3395,2
"987",4608,6361,3077,2
"988",4608,8876,3395,2
"989",4608,156,4144,2
"990",4608,6357,3393,2
"991",4608,6357,3077,2
"992",4608,8043,3364,2
"993",4608,8043,6366,2
"994",4608,6355,4109,2
"995",4608,6355,4120,2
"996",20565,3877,3484,2
"997",20565,3484,3877,2
"998",442,1128,1590,2
"999",442,1590,1128,2
"1005",2524,8428,2988,2
"1006",2524,6151,2988,2
"1007",2524,4364,4111,2
"1008",2524,4364,2992,2
"1009",2524,4364,2988,2
"1010",2524,6143,6140,2
"1011",2524,6143,2988,2
"1012",2524,6140,6143,2
"1013",2524,6140,2975,2
"1014",2524,6140,2988,2
"1015",2524,2975,6140,2
"1016",2524,4111,4364,2
"1017",2524,4368,2988,2
"1018",2524,2992,4364,2
"1019",2524,2988,8428,2
"1020",2524,2988,6151,2
"1021",2524,2988,4364,2
"1022",2524,2988,6143,2
"1023",2524,2988,6140,2
"1024",2524,2988,4368,2
"1025",8463,3885,3076,2
"1026",8463,6176,3076,2
"1027",8463,3043,3069,2
"1028",8463,3043,3076,2
"1029",8463,3069,3043,2
"1030",8463,3069,3076,2
"1031",8463,3069,2194,2
"1032",8463,3068,3076,2
"1033",8463,3076,3885,2
"1034",8463,3076,6176,2
"1035",8463,3076,3043,2
"1036",8463,3076,3069,2
"1037",8463,3076,3068,2
"1038",8463,3076,2188,2
"1039",8463,3076,2072,2
"1040",8463,3076,3071,2
"1041",8463,3076,3125,2
"1042",8463,3076,3304,2
"1043",8463,3076,2194,2
"1044",8463,3076,3073,2
"1045",8463,3076,3074,2
"1046",8463,2188,3076,2
"1047",8463,2072,3076,2
